reading_id,fault_label,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,dominant_freq_hz,tempo_bpm,sample_rate_hz,duration_sec,recording_env,ambient_noise_db
1,Healthy,-201.8863,14.6736,106.0266,11.5124,-5.6596,5.6495,12.4541,5.3038,-5.4684,4.7741,10.0081,4.4118,-3.0673,2.9487,7.169,2.6316,-2.4239,3.329,4.863,2.1753,-1.5011,3.394,3.7561,2.9108,-0.3261,4.0948,1741.49,216.4,1005.72,123.15,3001.76,336.76,0.06609,0.01719,0.03959,0.01251,56.8,938.3,22050,3.89,idle,55.8
2,Engine Overheating,-186.9563,15.0271,112.5716,14.5443,-8.7329,12.9303,7.7156,12.0951,4.7197,9.2658,14.0264,6.0706,1.0884,5.4688,9.9545,5.6515,-3.404,7.5457,7.0277,4.0146,-4.7552,4.0317,3.9965,3.2697,-0.1894,3.5254,2474.68,261.59,1531.71,169.94,4190.99,695.85,0.09092,0.02448,0.06755,0.01551,2587.0,1240.1,22050,2.53,revving,62.7
3,Healthy,-197.719,15.3034,113.1755,6.7792,-8.3945,5.7648,11.506,5.6773,-3.971,3.0429,6.4726,2.9747,-2.8769,4.2199,6.5985,3.1504,-3.1163,2.3719,2.9449,2.983,-0.0054,2.786,5.4663,3.1187,-1.0382,3.3104,1806.32,210.99,1021.13,78.82,3109.64,254.31,0.06187,0.01866,0.03875,0.01268,108.1,735.4,22050,4.14,revving,64.7
4,Oil Pressure Fault,-181.0908,21.7371,115.8129,14.5944,-0.8858,8.4923,12.0311,4.7407,-9.6984,8.1459,6.9236,5.4572,-0.5762,7.0162,11.1342,4.0084,-7.305,6.5164,4.5204,5.0909,-1.6961,3.2409,7.1737,5.2395,-0.228,3.9764,2134.36,208.9,1307.09,177.17,3742.62,473.5,0.07401,0.01455,0.04675,0.01429,1432.5,1096.2,22050,2.74,revving,54.2
5,Oil Pressure Fault,-170.2875,15.5028,112.8648,16.0808,-8.7711,11.5116,15.9929,8.9135,-8.6555,8.8237,8.192,3.865,-2.0072,5.4879,8.0759,6.9228,-1.0111,5.6327,8.8723,4.2725,-0.9457,4.8879,6.0576,3.8367,-6.2464,4.4458,2128.62,236.14,1362.02,187.17,3875.7,326.53,0.07383,0.01719,0.05735,0.01336,1236.5,1429.9,22050,2.54,idle,56.1
6,Oil Pressure Fault,-186.2968,22.5318,106.478,16.2019,-3.9954,9.1897,13.6697,8.5906,-4.8833,5.495,10.1305,6.0777,-6.3885,5.2569,5.2855,3.8969,-5.6906,4.3834,6.02,4.4587,-1.4794,3.8499,3.9795,3.4225,-2.5841,3.8431,2103.95,310.86,1402.84,219.9,4111.98,343.32,0.08577,0.01844,0.05917,0.01853,2042.9,938.8,22050,4.37,load,64.8
7,Battery Fault,-190.0788,15.758,107.8773,10.7271,-7.118,8.3103,10.7739,5.6769,-3.9891,5.173,5.9645,5.8333,1.0665,4.6514,6.4657,5.0945,-7.4719,2.5366,5.923,4.0621,-1.962,2.33,5.2235,4.1298,-2.9553,4.5518,2031.4,189.82,1199.7,137.11,3335.31,288.98,0.07737,0.01033,0.05299,0.01295,149.4,978.8,22050,3.92,revving,58.1
8,Healthy,-197.1558,14.1608,113.4206,7.8278,-6.4052,4.8917,13.8703,4.3218,-3.4328,4.8796,9.3762,6.3687,-2.1556,3.1607,7.0466,2.3765,-0.8616,3.9614,5.0676,4.0061,-1.1179,1.9362,3.3141,2.3658,-1.2883,3.3762,1729.84,177.83,1057.18,106.81,3023.62,283.66,0.06627,0.01231,0.04011,0.01069,85.1,1033.2,22050,2.79,revving,70.2
9,Clutch Slip,-192.1185,15.9838,115.2044,11.655,-3.7201,8.6072,9.2608,5.2515,-6.9355,6.7951,9.7962,5.2126,-9.0754,4.6032,8.5468,5.4447,-2.2489,4.6722,5.6025,5.8323,-2.19,2.1576,6.428,3.1379,0.9254,5.3553,2110.32,249.84,1349.17,133.55,3675.89,352.19,0.07292,0.02104,0.05156,0.01025,35.2,2288.4,22050,2.6,revving,57.1
10,Clutch Slip,-199.9814,15.2187,104.186,11.8707,-5.3983,10.9507,14.223,7.0314,-6.4719,7.0492,11.8996,7.0695,-1.5833,3.9918,4.0575,4.9782,-2.8609,5.2868,4.9521,4.7674,-1.2178,4.49,6.8634,2.267,-3.3081,5.1696,2100.14,246.18,1246.33,148.62,3670.38,292.07,0.06997,0.01167,0.05449,0.01353,51.8,2028.6,22050,3.08,idle,57.9
