reading_id,fault_label
1,Healthy
2,Engine Overheating
3,Healthy
4,Oil Pressure Fault
5,Oil Pressure Fault
6,Oil Pressure Fault
7,Battery Fault
8,Healthy
9,Clutch Slip
10,Clutch Slip
11,Battery Fault
12,Engine Overheating
13,Battery Fault
14,Brake System Fault
15,Healthy
16,Engine Overheating
17,Engine Overheating
18,Battery Fault
19,Brake System Fault
20,Healthy
21,Healthy
22,Battery Fault
23,Oil Pressure Fault
24,Oil Pressure Fault
25,Brake System Fault
26,Oil Pressure Fault
27,Oil Pressure Fault
28,Engine Overheating
29,Battery Fault
30,Healthy
31,Healthy
32,Clutch Slip
33,Oil Pressure Fault
34,Oil Pressure Fault
35,Clutch Slip
36,Oil Pressure Fault
37,Clutch Slip
38,Clutch Slip
39,Engine Overheating
40,Clutch Slip
41,Clutch Slip
42,Brake System Fault
43,Battery Fault
44,Brake System Fault
45,Healthy
46,Clutch Slip
47,Clutch Slip
48,Brake System Fault
49,Healthy
50,Engine Overheating
51,Oil Pressure Fault
52,Healthy
53,Clutch Slip
54,Healthy
55,Engine Overheating
56,Healthy
57,Brake System Fault
58,Oil Pressure Fault
59,Brake System Fault
60,Healthy
61,Battery Fault
62,Brake System Fault
63,Engine Overheating
64,Battery Fault
65,Battery Fault
66,Battery Fault
67,Brake System Fault
68,Oil Pressure Fault
69,Healthy
70,Healthy
71,Healthy
72,Brake System Fault
73,Healthy
74,Engine Overheating
75,Brake System Fault
76,Oil Pressure Fault
77,Clutch Slip
78,Engine Overheating
79,Healthy
80,Engine Overheating
81,Brake System Fault
82,Healthy
83,Healthy
84,Oil Pressure Fault
85,Healthy
86,Clutch Slip
87,Healthy
88,Brake System Fault
89,Brake System Fault
90,Brake System Fault
91,Clutch Slip
92,Engine Overheating
93,Engine Overheating
94,Oil Pressure Fault
95,Engine Overheating
96,Oil Pressure Fault
97,Battery Fault
98,Oil Pressure Fault
99,Oil Pressure Fault
100,Oil Pressure Fault
101,Engine Overheating
102,Clutch Slip
103,Engine Overheating
104,Clutch Slip
105,Healthy
106,Brake System Fault
107,Healthy
108,Battery Fault
109,Engine Overheating
110,Clutch Slip
111,Healthy
112,Engine Overheating
113,Brake System Fault
114,Brake System Fault
115,Healthy
116,Brake System Fault
117,Healthy
118,Battery Fault
119,Engine Overheating
120,Brake System Fault
121,Healthy
122,Engine Overheating
123,Battery Fault
124,Battery Fault
125,Clutch Slip
126,Oil Pressure Fault
127,Engine Overheating
128,Battery Fault
129,Battery Fault
130,Brake System Fault
131,Oil Pressure Fault
132,Clutch Slip
133,Brake System Fault
134,Oil Pressure Fault
135,Battery Fault
136,Battery Fault
137,Clutch Slip
138,Oil Pressure Fault
139,Clutch Slip
140,Clutch Slip
141,Clutch Slip
142,Oil Pressure Fault
143,Oil Pressure Fault
144,Healthy
145,Clutch Slip
146,Battery Fault
147,Clutch Slip
148,Battery Fault
149,Engine Overheating
150,Clutch Slip
151,Clutch Slip
152,Oil Pressure Fault
153,Brake System Fault
154,Engine Overheating
155,Brake System Fault
156,Battery Fault
157,Engine Overheating
158,Battery Fault
159,Clutch Slip
160,Brake System Fault
161,Oil Pressure Fault
162,Brake System Fault
163,Oil Pressure Fault
164,Engine Overheating
165,Clutch Slip
166,Healthy
167,Healthy
168,Engine Overheating
169,Engine Overheating
170,Oil Pressure Fault
171,Battery Fault
172,Brake System Fault
173,Oil Pressure Fault
174,Healthy
175,Healthy
176,Battery Fault
177,Healthy
178,Brake System Fault
179,Battery Fault
180,Engine Overheating
181,Engine Overheating
182,Brake System Fault
183,Healthy
184,Engine Overheating
185,Healthy
186,Engine Overheating
187,Clutch Slip
188,Clutch Slip
189,Oil Pressure Fault
190,Oil Pressure Fault
191,Brake System Fault
192,Healthy
193,Engine Overheating
194,Engine Overheating
195,Healthy
196,Engine Overheating
197,Brake System Fault
198,Healthy
199,Engine Overheating
200,Oil Pressure Fault
201,Battery Fault
202,Healthy
203,Engine Overheating
204,Healthy
205,Battery Fault
206,Brake System Fault
207,Battery Fault
208,Engine Overheating
209,Battery Fault
210,Oil Pressure Fault
211,Oil Pressure Fault
212,Oil Pressure Fault
213,Oil Pressure Fault
214,Oil Pressure Fault
215,Oil Pressure Fault
216,Healthy
217,Battery Fault
218,Engine Overheating
219,Healthy
220,Battery Fault
221,Engine Overheating
222,Battery Fault
223,Battery Fault
224,Oil Pressure Fault
225,Brake System Fault
226,Battery Fault
227,Oil Pressure Fault
228,Clutch Slip
229,Clutch Slip
230,Brake System Fault
231,Brake System Fault
232,Brake System Fault
233,Battery Fault
234,Clutch Slip
235,Brake System Fault
236,Clutch Slip
237,Healthy
238,Healthy
239,Healthy
240,Clutch Slip
241,Engine Overheating
242,Healthy
243,Engine Overheating
244,Brake System Fault
245,Battery Fault
246,Healthy
247,Engine Overheating
248,Oil Pressure Fault
249,Oil Pressure Fault
250,Clutch Slip
251,Battery Fault
252,Battery Fault
253,Oil Pressure Fault
254,Battery Fault
255,Engine Overheating
256,Oil Pressure Fault
257,Oil Pressure Fault
258,Engine Overheating
259,Healthy
260,Brake System Fault
261,Clutch Slip
262,Oil Pressure Fault
263,Healthy
264,Brake System Fault
265,Engine Overheating
266,Healthy
267,Clutch Slip
268,Healthy
269,Battery Fault
270,Battery Fault
271,Engine Overheating
272,Clutch Slip
273,Oil Pressure Fault
274,Engine Overheating
275,Battery Fault
276,Clutch Slip
277,Oil Pressure Fault
278,Engine Overheating
279,Battery Fault
280,Clutch Slip
281,Brake System Fault
282,Engine Overheating
283,Oil Pressure Fault
284,Healthy
285,Oil Pressure Fault
286,Healthy
287,Battery Fault
288,Battery Fault
289,Healthy
290,Clutch Slip
291,Oil Pressure Fault
292,Brake System Fault
293,Battery Fault
294,Battery Fault
295,Oil Pressure Fault
296,Clutch Slip
297,Clutch Slip
298,Clutch Slip
299,Clutch Slip
300,Battery Fault
301,Battery Fault
302,Brake System Fault
303,Brake System Fault
304,Oil Pressure Fault
305,Healthy
306,Battery Fault
307,Engine Overheating
308,Clutch Slip
309,Engine Overheating
310,Clutch Slip
311,Engine Overheating
312,Brake System Fault
313,Healthy
314,Oil Pressure Fault
315,Healthy
316,Clutch Slip
317,Oil Pressure Fault
318,Engine Overheating
319,Healthy
320,Clutch Slip
321,Clutch Slip
322,Engine Overheating
323,Battery Fault
324,Oil Pressure Fault
325,Engine Overheating
326,Healthy
327,Healthy
328,Clutch Slip
329,Engine Overheating
330,Healthy
331,Oil Pressure Fault
332,Battery Fault
333,Clutch Slip
334,Brake System Fault
335,Battery Fault
336,Clutch Slip
337,Battery Fault
338,Battery Fault
339,Engine Overheating
340,Engine Overheating
341,Clutch Slip
342,Brake System Fault
343,Battery Fault
344,Clutch Slip
345,Oil Pressure Fault
346,Battery Fault
347,Brake System Fault
348,Battery Fault
349,Engine Overheating
350,Clutch Slip
351,Oil Pressure Fault
352,Oil Pressure Fault
353,Brake System Fault
354,Engine Overheating
355,Clutch Slip
356,Oil Pressure Fault
357,Healthy
358,Engine Overheating
359,Engine Overheating
360,Battery Fault
361,Engine Overheating
362,Brake System Fault
363,Healthy
364,Healthy
365,Oil Pressure Fault
366,Clutch Slip
367,Oil Pressure Fault
368,Clutch Slip
369,Brake System Fault
370,Brake System Fault
371,Oil Pressure Fault
372,Clutch Slip
373,Brake System Fault
374,Brake System Fault
375,Clutch Slip
376,Oil Pressure Fault
377,Clutch Slip
378,Brake System Fault
379,Healthy
380,Battery Fault
381,Oil Pressure Fault
382,Oil Pressure Fault
383,Engine Overheating
384,Battery Fault
385,Brake System Fault
386,Clutch Slip
387,Brake System Fault
388,Battery Fault
389,Battery Fault
390,Clutch Slip
391,Healthy
392,Brake System Fault
393,Battery Fault
394,Healthy
395,Healthy
396,Battery Fault
397,Clutch Slip
398,Brake System Fault
399,Battery Fault
400,Oil Pressure Fault
401,Healthy
402,Brake System Fault
403,Engine Overheating
404,Healthy
405,Engine Overheating
406,Engine Overheating
407,Brake System Fault
408,Healthy
409,Brake System Fault
410,Healthy
411,Oil Pressure Fault
412,Battery Fault
413,Oil Pressure Fault
414,Clutch Slip
415,Clutch Slip
416,Battery Fault
417,Healthy
418,Clutch Slip
419,Clutch Slip
420,Engine Overheating
421,Healthy
422,Battery Fault
423,Battery Fault
424,Engine Overheating
425,Engine Overheating
