reading_id,vehicle_id,engine_temp_c,rpm,battery_voltage,oil_pressure_psi,brake_fluid_level_percent,speed_kmh,driving_pattern,mileage_km
1,1,78.21,1936,12.7,41.9,79.28,56,mixed,143463
2,2,98.83,2181,12.18,30.1,69.46,75,highway,178858
3,3,98.3,1411,12.64,36.6,80.49,36,traffic,155295
4,4,88.93,2087,12.55,20.1,64.14,92,highway,34106
5,5,86.94,2788,12.46,25.5,82.28,53,traffic,121040
6,6,98.16,1715,12.69,11.7,57.05,80,mixed,257841
7,7,89.21,1922,10.34,31.8,81.09,39,mixed,190280
8,8,90.32,2137,12.32,44.1,85.15,64,highway,148145
9,9,97.47,4288,12.81,38.8,74.57,24,mixed,93891
10,10,86.36,3953,13.08,34.5,53.14,30,traffic,67647
11,11,76.24,1923,11.73,34.4,43.84,45,traffic,257261
12,12,107.03,2888,12.67,26.3,80.69,52,traffic,206114
13,13,81.36,2167,13.01,47.3,71.8,48,highway,229996
14,14,90.46,1844,12.42,29.2,47.45,10,traffic,112984
15,15,88.31,1178,12.73,41.0,70.21,65,traffic,265826
16,16,107.87,2818,12.9,40.9,76.37,62,mixed,150681
17,17,101.8,2147,12.44,33.6,82.6,58,highway,102821
18,18,76.32,1454,11.13,30.7,66.84,76,traffic,151627
19,19,91.1,1738,12.78,40.3,27.57,65,traffic,160946
20,20,75.75,1822,12.35,37.1,77.46,21,highway,34015
21,21,83.01,2024,12.68,35.0,74.67,59,highway,213430
22,22,90.01,1733,11.73,47.7,82.09,62,mixed,60572
23,23,90.45,1601,12.23,21.4,62.45,101,highway,142218
24,24,104.27,2479,12.48,14.8,86.49,66,traffic,261486
25,25,93.29,2387,12.18,37.2,33.87,56,traffic,73011
26,26,84.08,1658,12.89,21.0,89.2,55,mixed,227213
27,27,94.65,2650,12.45,19.3,60.97,63,traffic,114892
28,28,104.82,990,12.31,41.4,42.95,69,highway,277991
29,29,92.8,1470,9.81,42.9,51.09,20,traffic,166766
30,30,94.16,2352,12.01,41.3,71.74,38,traffic,270085
31,31,87.89,2096,12.31,44.1,86.77,20,highway,202998
32,32,93.5,3894,12.18,41.0,78.27,58,traffic,168448
33,33,97.47,1944,13.27,14.2,76.59,37,highway,114767
34,34,103.72,2763,12.88,30.0,52.82,58,traffic,203466
35,35,82.74,3309,12.54,46.7,59.96,24,mixed,182107
36,36,99.03,1979,11.94,20.9,85.19,44,highway,207814
37,37,104.58,2559,12.16,53.6,84.95,41,mixed,56881
38,38,100.22,4052,12.39,31.5,62.58,33,mixed,240539
39,39,96.05,4028,12.98,32.0,72.48,86,mixed,157142
40,40,97.5,3554,12.89,32.9,62.75,47,traffic,92105
41,41,93.66,3491,12.43,52.7,55.51,0,traffic,182823
42,42,93.3,1984,12.57,32.7,19.27,30,traffic,92064
43,43,93.31,530,12.23,35.5,75.98,45,mixed,57049
44,44,88.79,500,11.73,28.1,46.12,39,traffic,66090
45,45,92.91,2324,12.41,53.0,73.28,18,traffic,150121
46,46,97.77,3018,11.87,32.9,66.02,32,highway,193001
47,47,88.42,3010,12.25,29.9,74.94,12,traffic,33563
48,48,75.5,1895,12.64,45.3,43.29,55,traffic,276332
49,49,87.13,2110,12.52,44.9,83.17,56,mixed,54767
50,50,103.98,2223,12.31,30.3,72.46,48,mixed,278165
51,51,103.23,605,12.58,26.6,84.58,85,traffic,24185
52,52,92.87,2201,12.7,42.0,69.7,3,traffic,242864
53,53,93.34,3821,11.87,40.7,51.88,21,mixed,276537
54,54,88.01,1150,12.77,39.5,79.37,54,highway,231319
55,55,100.31,2023,12.89,28.5,76.68,55,traffic,83369
56,56,99.87,1703,12.27,44.0,72.1,54,traffic,127088
57,57,90.21,1603,12.09,37.9,39.41,32,mixed,261141
58,58,95.51,2179,12.52,18.8,69.91,44,traffic,94233
59,59,81.82,1607,12.77,31.6,38.07,50,traffic,126613
60,60,99.34,1561,12.44,43.4,71.77,39,mixed,215198
61,61,102.94,1024,10.39,44.8,73.56,50,traffic,214836
62,62,93.11,1994,12.91,25.4,17.08,49,traffic,279654
63,63,101.48,2733,12.24,33.6,45.95,49,traffic,159152
64,64,94.39,2400,11.95,35.2,44.71,72,highway,146927
65,65,93.9,2042,10.52,41.1,71.06,40,traffic,193057
66,66,88.31,2050,10.52,41.6,62.3,39,traffic,229628
67,67,98.17,1857,12.62,38.1,47.13,58,mixed,20646
68,68,104.98,3167,11.85,32.9,79.7,38,traffic,196604
69,69,82.32,1174,12.16,41.7,75.93,61,mixed,103253
70,70,88.74,2204,12.58,45.2,74.54,63,highway,54599
71,71,78.39,1658,12.98,42.7,71.65,31,mixed,33831
72,72,86.26,2064,12.18,28.1,21.38,18,traffic,272139
73,73,79.12,2404,12.54,44.1,72.83,27,traffic,160086
74,74,102.56,2185,12.23,38.6,66.17,52,highway,67697
75,75,89.24,2134,12.19,35.0,33.31,27,mixed,98206
76,76,91.28,1747,13.39,21.5,65.58,58,mixed,211361
77,77,106.13,3895,12.56,37.8,65.08,25,highway,225954
78,78,89.99,2054,12.48,29.7,84.7,65,mixed,20195
79,79,97.58,2280,12.51,36.1,73.04,61,traffic,123641
80,80,93.95,3605,12.16,25.3,51.64,56,traffic,130451
81,81,89.17,1976,12.52,28.0,13.22,45,traffic,234256
82,82,85.66,2264,12.54,45.3,81.37,54,traffic,107521
83,83,84.43,2650,12.89,41.6,76.42,31,highway,49920
84,84,96.51,2230,12.81,22.6,77.66,30,traffic,215014
85,85,86.11,2074,12.78,39.0,77.54,68,traffic,116111
86,86,95.89,4061,12.47,43.1,62.84,21,traffic,97472
87,87,94.51,3356,12.86,46.0,88.73,17,traffic,86444
88,88,95.22,2159,12.35,51.8,38.08,4,traffic,108215
89,89,91.26,1877,12.57,24.0,23.01,44,highway,250844
90,90,95.28,2666,12.33,42.5,37.38,71,mixed,82053
91,91,87.3,3551,12.59,39.1,79.95,16,traffic,134254
92,92,102.55,1835,12.04,30.9,83.75,16,traffic,214641
93,93,106.38,2632,11.45,40.2,54.81,55,traffic,176902
94,94,82.08,1458,12.32,20.7,76.0,63,highway,183869
95,95,108.52,2888,12.51,36.2,73.36,104,highway,94763
96,96,91.45,1594,12.38,17.5,65.12,0,traffic,189197
97,97,91.39,1712,12.26,40.5,74.4,54,mixed,219195
98,98,96.19,1144,12.9,30.8,60.17,54,mixed,109658
99,99,93.68,2080,12.82,9.7,59.36,33,mixed,47742
100,100,103.46,1521,13.13,23.9,89.84,40,mixed,120428
101,101,102.43,2753,13.04,30.5,39.73,33,traffic,258604
102,102,94.69,3901,11.72,42.9,53.08,39,highway,86670
103,103,104.41,2603,12.12,26.9,49.23,41,mixed,106511
104,104,78.71,3120,11.76,36.0,91.6,33,traffic,163366
105,105,82.91,1458,12.73,41.8,73.29,57,traffic,223086
106,106,96.38,1725,12.83,33.3,28.42,55,highway,271198
107,107,87.23,1729,12.4,39.5,74.58,78,mixed,32713
108,108,96.34,1327,11.45,35.0,91.8,50,highway,220141
109,109,106.83,2314,12.1,40.6,95.53,0,traffic,104423
110,110,92.85,3715,12.26,49.9,75.59,36,traffic,161787
111,111,86.93,1914,12.25,52.5,84.78,44,mixed,116832
112,112,94.89,2685,12.65,37.4,74.76,42,mixed,71606
113,113,76.4,572,12.66,34.3,28.66,61,traffic,202868
114,114,78.33,2435,12.69,52.9,37.4,74,highway,164198
115,115,87.57,1991,12.78,45.3,86.96,80,mixed,160391
116,116,77.6,2959,12.92,33.2,35.87,42,highway,19308
117,117,84.99,1946,12.6,33.7,75.25,70,mixed,166159
118,118,85.28,1258,12.33,36.7,71.08,44,traffic,200009
119,119,105.94,3412,12.36,26.2,57.52,46,highway,79607
120,120,92.88,2305,12.12,35.7,27.14,22,mixed,110323
121,121,91.46,1830,13.06,40.7,83.4,59,mixed,130241
122,122,103.71,1063,11.7,31.3,84.44,19,traffic,42440
123,123,83.22,2037,11.9,42.8,84.23,42,mixed,166619
124,124,91.8,1194,11.35,38.1,82.47,49,traffic,231898
125,125,107.09,2798,12.32,37.8,68.17,10,traffic,100335
126,126,102.32,2709,12.31,29.0,69.0,58,highway,215335
127,127,99.53,2020,11.75,29.3,79.67,33,traffic,142757
128,128,94.89,1242,13.14,33.8,75.59,79,mixed,51894
129,129,90.24,2615,12.34,31.5,63.8,60,traffic,115096
130,130,103.08,1064,11.73,38.9,34.09,30,traffic,197232
131,131,97.09,2206,12.77,12.8,58.63,46,mixed,55764
132,132,96.61,3435,12.98,38.5,70.99,32,mixed,167245
133,133,101.02,1441,13.05,38.7,31.45,77,highway,173351
134,134,98.57,2589,13.11,14.5,71.78,6,traffic,246891
135,135,97.26,1898,11.51,42.3,83.69,52,traffic,204486
136,136,97.85,2425,10.45,37.6,59.65,33,highway,67225
137,137,94.99,3209,11.61,40.5,96.34,48,mixed,278037
138,138,100.61,1988,12.61,27.4,54.79,31,traffic,68448
139,139,95.17,4485,12.38,37.1,75.73,41,highway,215257
140,140,95.8,2889,12.57,51.7,57.77,32,mixed,156421
141,141,94.78,4116,12.27,38.8,76.82,25,traffic,140910
142,142,85.75,3278,12.32,23.6,73.53,54,mixed,73181
143,143,92.66,3536,13.0,26.9,79.25,13,traffic,228218
144,144,88.59,2478,12.95,40.2,75.58,59,mixed,190345
145,145,89.11,3941,12.61,37.3,79.86,9,traffic,62457
146,146,84.77,1657,11.22,33.6,72.41,56,traffic,204142
147,147,90.3,3234,12.37,46.2,75.39,20,mixed,228249
148,148,80.0,1342,11.45,42.4,85.21,45,mixed,165392
149,149,97.19,3266,12.04,34.1,80.63,34,traffic,96804
150,150,102.37,3186,12.47,38.3,82.1,35,traffic,35453
151,151,89.23,3099,12.0,40.3,75.23,24,traffic,231565
152,152,95.36,1435,12.25,18.0,64.68,78,traffic,169661
153,153,90.2,2183,13.21,38.7,41.36,24,mixed,272285
154,154,105.73,2638,12.62,37.7,61.26,28,mixed,95346
155,155,92.24,1328,12.75,39.7,41.63,12,traffic,224113
156,156,91.6,2588,10.72,28.7,68.61,17,traffic,89756
157,157,105.4,2428,12.53,40.1,62.42,48,mixed,198811
158,158,79.37,1515,11.36,24.1,73.06,25,traffic,27967
159,159,102.68,3209,12.8,44.4,59.18,32,mixed,246084
160,160,99.05,2656,12.48,27.2,34.86,36,traffic,43389
161,161,97.77,1987,11.4,19.1,70.53,30,traffic,38944
162,162,103.21,2887,12.81,33.1,29.0,28,traffic,249218
163,163,99.34,1899,12.68,18.5,70.27,52,traffic,244298
164,164,100.78,2496,12.2,37.5,66.91,76,highway,155866
165,165,99.1,4046,12.53,33.3,69.86,29,mixed,188164
166,166,79.86,2341,12.61,46.8,91.81,22,traffic,247363
167,167,86.27,1440,12.02,39.9,76.33,55,traffic,46748
168,168,103.62,1991,12.3,22.2,51.27,49,traffic,173817
169,169,102.63,1315,12.57,32.8,62.99,37,mixed,59651
170,170,97.79,2915,12.83,19.0,62.44,14,traffic,225992
171,171,88.49,1974,11.39,29.3,70.79,66,mixed,161386
172,172,104.14,2954,12.82,25.8,38.25,36,traffic,272134
173,173,92.39,1913,12.94,22.4,67.05,71,traffic,258098
174,174,83.28,1243,12.64,46.9,80.71,25,mixed,274464
175,175,93.48,881,12.84,36.5,84.28,47,highway,128507
176,176,91.63,1279,11.49,35.3,55.45,39,highway,176297
177,177,91.18,1859,12.4,43.8,91.54,60,traffic,54787
178,178,91.09,2027,12.76,31.9,32.4,37,highway,33876
179,179,93.46,2509,12.21,40.3,53.97,38,traffic,178469
180,180,108.24,1570,12.1,37.0,60.09,74,mixed,56709
181,181,96.72,2902,12.33,42.7,89.12,21,mixed,86903
182,182,94.9,3397,11.96,41.5,34.86,45,traffic,159549
183,183,97.0,1736,12.81,41.1,97.45,40,traffic,46134
184,184,110.34,1864,12.71,32.7,76.74,36,traffic,41729
185,185,89.64,1918,12.54,38.6,87.36,92,highway,28108
186,186,96.55,1457,12.29,42.4,71.85,12,traffic,250814
187,187,100.97,4357,12.79,42.4,77.18,29,highway,44384
188,188,87.3,2550,11.81,39.0,78.85,26,mixed,21797
189,189,98.93,1485,12.55,18.2,65.62,55,highway,79976
190,190,90.11,1365,12.43,17.3,58.26,47,mixed,140907
191,191,95.68,1468,12.44,37.6,37.7,25,traffic,180593
192,192,94.93,2073,12.76,46.2,81.97,37,traffic,89555
193,193,95.06,4359,12.1,21.0,76.58,41,mixed,227704
194,194,100.52,1149,12.32,24.1,73.76,39,traffic,92804
195,195,85.8,2495,12.36,45.1,83.82,33,traffic,150667
196,196,96.92,2054,12.27,33.3,90.37,38,traffic,90848
197,197,85.76,2668,12.41,39.1,29.81,0,traffic,155033
198,198,84.34,1799,12.68,43.9,90.92,71,traffic,27986
199,199,98.16,3401,13.26,31.8,59.7,56,traffic,92282
200,200,94.34,1648,13.6,8.0,81.4,62,highway,43954
201,201,96.0,784,10.45,28.7,89.71,21,traffic,102902
202,202,90.01,2098,12.42,44.6,70.89,42,traffic,192921
203,203,96.92,2839,11.83,16.6,56.32,11,traffic,169550
204,204,100.23,1201,12.3,37.8,72.72,79,highway,141391
205,205,88.79,1908,11.53,29.3,77.99,65,traffic,96954
206,206,99.4,3006,12.69,37.5,35.09,46,traffic,102949
207,207,85.91,1634,11.27,53.7,69.21,46,traffic,230733
208,208,101.8,1967,12.08,26.0,56.47,25,mixed,133540
209,209,93.29,1010,11.84,35.2,65.71,28,traffic,53570
210,210,90.25,1758,12.9,25.6,68.05,20,traffic,61855
211,211,97.53,3371,12.6,29.0,79.24,52,mixed,70480
212,212,88.25,2085,12.24,16.7,78.62,53,highway,100454
213,213,95.65,1218,12.44,21.0,70.62,26,mixed,178197
214,214,97.63,2600,12.85,25.4,79.56,46,mixed,184289
215,215,93.46,3162,12.44,8.7,69.08,21,mixed,27666
216,216,93.13,1729,12.7,38.9,67.99,67,traffic,96839
217,217,94.95,3102,11.15,38.2,60.66,38,traffic,257683
218,218,98.96,1905,12.16,40.9,80.7,32,mixed,240018
219,219,83.11,1914,12.95,39.2,82.45,30,highway,106564
220,220,78.11,1824,12.29,37.7,93.93,7,traffic,140900
221,221,105.28,1458,11.87,23.7,75.4,44,highway,273787
222,222,87.42,535,10.55,39.9,74.04,28,mixed,151792
223,223,98.02,1247,12.79,42.8,76.92,74,traffic,271476
224,224,93.2,2963,12.5,30.3,81.65,41,traffic,125633
225,225,102.36,1189,12.72,59.9,29.14,29,mixed,24729
226,226,95.2,1848,12.16,38.4,72.71,60,mixed,102397
227,227,90.61,1905,13.09,25.0,67.79,60,mixed,22683
228,228,90.3,3219,12.31,32.4,77.11,36,traffic,242993
229,229,88.29,3356,13.06,20.2,82.57,21,traffic,124410
230,230,99.97,1822,12.53,40.2,24.34,30,mixed,152907
231,231,93.35,2025,11.55,39.3,53.92,44,traffic,151470
232,232,91.82,2710,12.13,33.9,18.04,53,mixed,93962
233,233,91.2,2629,10.97,35.3,45.54,44,mixed,44219
234,234,87.81,3553,12.2,43.9,68.65,8,traffic,92592
235,235,90.04,1598,12.79,26.1,31.21,20,traffic,73243
236,236,100.06,3784,12.35,36.0,80.33,17,traffic,187383
237,237,85.68,1717,12.45,36.7,79.66,38,traffic,213399
238,238,91.73,2567,12.51,42.2,73.93,58,traffic,118836
239,239,81.05,1122,12.65,35.5,79.63,62,mixed,260939
240,240,87.86,2205,12.54,30.5,78.09,25,traffic,201986
241,241,99.89,2667,12.29,29.0,71.55,48,traffic,142010
242,242,84.25,2206,13.15,47.4,75.25,57,mixed,184007
243,243,111.47,3631,11.98,36.0,65.16,28,mixed,213133
244,244,81.85,3089,12.82,32.1,43.86,59,traffic,257932
245,245,89.88,1213,11.87,35.0,49.13,53,traffic,206988
246,246,89.45,2133,13.15,35.5,79.95,33,traffic,113836
247,247,89.53,3096,12.9,34.0,59.17,33,highway,167685
248,248,97.23,2280,12.41,17.6,77.01,0,traffic,233288
249,249,97.54,1875,12.14,28.3,41.74,66,highway,202197
250,250,105.82,3224,12.6,36.0,82.09,36,traffic,118269
251,251,92.33,1158,11.22,29.6,85.56,36,mixed,132142
252,252,83.26,2449,11.71,36.7,70.81,86,traffic,33593
253,253,86.6,1879,11.24,23.9,58.47,35,traffic,113667
254,254,84.39,1608,11.13,43.9,75.12,49,highway,124173
255,255,115.6,3697,12.75,42.1,78.54,31,traffic,22399
256,256,87.33,1776,13.15,16.4,72.21,34,mixed,109776
257,257,94.15,2136,12.64,17.5,79.59,73,highway,100886
258,258,98.97,3176,12.62,36.0,62.27,28,mixed,279989
259,259,86.22,1421,12.76,48.6,77.75,58,traffic,177224
260,260,90.67,1928,12.39,36.2,41.13,42,mixed,130196
261,261,90.74,2642,12.57,44.0,61.16,47,mixed,263304
262,262,106.21,1968,12.58,13.0,39.2,64,traffic,102231
263,263,89.57,1955,12.72,35.2,70.77,91,highway,195904
264,264,88.02,1990,12.51,40.8,28.53,64,traffic,137305
265,265,102.8,2296,12.47,16.5,91.57,63,mixed,240510
266,266,94.42,1406,12.23,36.4,66.37,35,mixed,118091
267,267,101.08,2816,12.86,42.4,64.15,25,traffic,131305
268,268,85.35,2283,12.64,35.0,84.17,62,traffic,230019
269,269,83.71,2275,10.46,33.9,81.24,57,traffic,175877
270,270,99.26,1183,11.18,40.9,52.39,27,mixed,154328
271,271,103.91,1726,13.24,41.7,78.42,37,mixed,242502
272,272,92.64,3668,12.83,39.3,57.22,37,traffic,240765
273,273,92.3,1063,12.23,25.2,74.08,65,highway,174937
274,274,102.87,2345,12.74,40.9,59.04,6,traffic,207881
275,275,86.45,1178,10.96,37.9,65.09,38,traffic,122400
276,276,99.11,4176,12.58,26.0,95.81,17,traffic,22590
277,277,98.0,2730,12.93,17.9,66.88,50,traffic,242964
278,278,98.92,1411,12.52,38.5,53.75,90,traffic,164706
279,279,88.02,1789,10.57,18.6,68.55,64,traffic,79361
280,280,95.04,2509,12.17,40.6,51.3,12,traffic,275361
281,281,85.89,1814,12.51,36.9,43.95,35,traffic,96053
282,282,107.45,2365,12.13,41.5,63.26,95,highway,172199
283,283,93.45,1536,12.78,22.6,86.66,32,mixed,88319
284,284,99.56,2753,12.46,37.9,73.86,72,highway,54977
285,285,100.57,2746,13.16,22.1,78.03,44,traffic,31927
286,286,94.87,1955,12.77,43.4,73.44,52,traffic,46705
287,287,98.55,2930,10.96,25.2,71.35,29,traffic,110268
288,288,86.63,937,11.65,22.2,69.36,81,highway,174099
289,289,85.84,3007,12.46,53.3,78.68,79,traffic,177156
290,290,87.69,3499,12.54,41.6,76.93,27,traffic,215325
291,291,86.68,1200,11.84,16.4,68.18,25,traffic,218140
292,292,97.19,655,12.74,43.5,44.96,72,mixed,124019
293,293,105.31,1326,10.92,32.6,67.14,53,highway,217992
294,294,93.27,2827,12.04,30.9,68.84,83,highway,144125
295,295,98.72,1175,12.11,25.0,69.74,2,traffic,70870
296,296,108.83,3217,11.89,40.7,61.06,20,traffic,179662
297,297,95.72,3703,13.08,32.8,72.49,55,mixed,253232
298,298,99.99,3313,12.11,30.8,78.9,42,highway,52748
299,299,95.15,3107,13.15,52.2,63.23,15,traffic,37369
300,300,93.2,2030,11.92,44.9,72.26,48,traffic,179375
301,301,85.21,641,11.99,37.0,80.42,44,traffic,115370
302,302,91.04,2208,13.21,42.3,51.15,42,traffic,220905
303,303,93.66,1148,13.11,45.0,26.31,38,traffic,184441
304,304,82.66,2697,12.98,29.1,67.25,18,traffic,133998
305,305,85.32,2256,12.93,49.8,68.5,71,mixed,136760
306,306,98.04,2104,11.37,53.0,51.91,22,traffic,272718
307,307,106.64,1278,12.38,41.1,60.51,49,traffic,179500
308,308,101.29,4264,12.72,36.9,60.24,33,traffic,160541
309,309,105.37,1782,12.25,34.9,56.27,65,traffic,195587
310,310,89.95,3077,12.4,21.5,70.51,14,traffic,136524
311,311,97.55,2040,12.1,33.5,57.66,20,mixed,107661
312,312,96.68,2435,12.1,41.7,47.26,27,mixed,50624
313,313,87.78,1502,12.74,44.8,71.92,7,traffic,59608
