reading_id,vehicle_id,make,model,year,engine_type,fuel_type,transmission,mileage_km,region_driven
1,1,Tata,Indica,2008,4-cylinder,Petrol,Manual,143463,Battaramulla
2,2,Toyota,Premio,2023,4-cylinder,Petrol,Automatic,178858,Boralesgamuwa
3,3,Honda,Vezel,2016,4-cylinder,Petrol Hybrid,Automatic,155295,Kaduwela
4,4,Mitsubishi,Lancer,2012,4-cylinder,Petrol,Manual,34106,Athurugiriya
5,5,Nissan,Tiida,2015,4-cylinder,Petrol,Automatic,121040,Battaramulla
6,6,Toyota,Corolla,2011,4-cylinder,Petrol,Manual,257841,Nugegoda
7,7,Toyota,Axio,2020,4-cylinder,Petrol,Automatic,190280,Nugegoda
8,8,Kia,Rio,2017,4-cylinder,Petrol,Automatic,148145,Athurugiriya
9,9,Tata,Indica,2013,4-cylinder,Petrol,Manual,93891,Pannipitiya
10,10,Honda,Civic,2012,4-cylinder,Petrol,Manual,67647,Nugegoda
11,11,Hyundai,i10,2009,3-cylinder,Petrol,Automatic,257261,Maharagama
12,12,Toyota,Vios,2011,4-cylinder,Petrol,Automatic,206114,Boralesgamuwa
13,13,Kia,Cerato,2011,4-cylinder,Petrol,Automatic,229996,Thalawathugoda
14,14,Nissan,Tiida,2016,4-cylinder,Petrol,Automatic,112984,Athurugiriya
15,15,Honda,Fit,2008,4-cylinder,Petrol,Automatic,265826,Thalawathugoda
16,16,Toyota,Allion,2013,4-cylinder,Petrol,Automatic,150681,Rajagiriya
17,17,Hyundai,i10,2011,3-cylinder,Petrol,Automatic,102821,Koswatta
18,18,Honda,City,2006,4-cylinder,Petrol,Automatic,151627,Hokandara
19,19,Nissan,Almera,2012,4-cylinder,Petrol,Automatic,160946,Kaduwela
20,20,Toyota,Axio,2020,4-cylinder,Petrol,Automatic,34015,Athurugiriya
21,21,Toyota,Corolla,2015,4-cylinder,Petrol,Manual,213430,Rajagiriya
22,22,Toyota,Allion,2014,4-cylinder,Petrol,Automatic,60572,Malabe
23,23,Honda,Grace,2009,4-cylinder,Petrol Hybrid,Automatic,142218,Rajagiriya
24,24,Honda,Grace,2010,4-cylinder,Petrol Hybrid,Automatic,261486,Nugegoda
25,25,Nissan,Tiida,2005,4-cylinder,Petrol,Automatic,73011,Athurugiriya
26,26,Tata,Indica,2006,4-cylinder,Petrol,Manual,227213,Pannipitiya
27,27,Honda,Vezel,2015,4-cylinder,Petrol Hybrid,Automatic,114892,Malabe
28,28,Toyota,Premio,2017,4-cylinder,Petrol,Automatic,277991,Hokandara
29,29,Nissan,Tiida,2005,4-cylinder,Petrol,Automatic,166766,Koswatta
30,30,Perodua,Myvi,2016,3-cylinder,Petrol,Automatic,270085,Pannipitiya
31,31,Toyota,Vios,2010,4-cylinder,Petrol,Automatic,202998,Malabe
32,32,Suzuki,Swift,2007,4-cylinder,Petrol,Manual,168448,Thalawathugoda
33,33,Toyota,Hiace,2015,4-cylinder,Diesel,Manual,114767,Boralesgamuwa
34,34,Mazda,Demio,2015,4-cylinder,Petrol,Automatic,203466,Athurugiriya
35,35,Nissan,Sunny,2022,4-cylinder,Petrol,Manual,182107,Hokandara
36,36,Suzuki,Baleno,2019,4-cylinder,Petrol,Automatic,207814,Athurugiriya
37,37,Tata,Indica,2006,4-cylinder,Petrol,Manual,56881,Thalawathugoda
38,38,Suzuki,Jimny,2022,4-cylinder,Petrol,Manual,240539,Athurugiriya
39,39,Suzuki,Baleno,2014,4-cylinder,Petrol,Automatic,157142,Battaramulla
40,40,Suzuki,Swift,2022,4-cylinder,Petrol,Manual,92105,Battaramulla
41,41,Suzuki,Jimny,2013,4-cylinder,Petrol,Manual,182823,Kottawa
42,42,Kia,Rio,2007,4-cylinder,Petrol,Automatic,92064,Thalawathugoda
43,43,Kia,Cerato,2018,4-cylinder,Petrol,Automatic,57049,Hokandara
44,44,Toyota,Yaris,2010,4-cylinder,Petrol,Automatic,66090,Malabe
45,45,Kia,Cerato,2022,4-cylinder,Petrol,Automatic,150121,Koswatta
46,46,Mitsubishi,Lancer,2023,4-cylinder,Petrol,Manual,193001,Pannipitiya
47,47,Mitsubishi,Lancer,2012,4-cylinder,Petrol,Manual,33563,Kottawa
48,48,Toyota,Corolla,2013,4-cylinder,Petrol,Manual,276332,Athurugiriya
49,49,Hyundai,i10,2006,3-cylinder,Petrol,Automatic,54767,Athurugiriya
50,50,Toyota,Vios,2009,4-cylinder,Petrol,Automatic,278165,Kaduwela
51,51,Honda,City,2007,4-cylinder,Petrol,Automatic,24185,Sri Jayawardenepura Kotte
52,52,Suzuki,Alto,2005,3-cylinder,Petrol,Automatic,242864,Pannipitiya
53,53,Nissan,Sunny,2007,4-cylinder,Petrol,Manual,276537,Thalawathugoda
54,54,Toyota,Corolla,2018,4-cylinder,Petrol,Manual,231319,Sri Jayawardenepura Kotte
55,55,Hyundai,i10,2010,3-cylinder,Petrol,Automatic,83369,Koswatta
56,56,Kia,Cerato,2012,4-cylinder,Petrol,Automatic,127088,Sri Jayawardenepura Kotte
57,57,Honda,Vezel,2019,4-cylinder,Petrol Hybrid,Automatic,261141,Battaramulla
58,58,Kia,Cerato,2008,4-cylinder,Petrol,Automatic,94233,Thalawathugoda
59,59,Perodua,Axia,2018,3-cylinder,Petrol,Automatic,126613,Athurugiriya
60,60,Toyota,Hiace,2010,4-cylinder,Diesel,Manual,215198,Thalawathugoda
61,61,Suzuki,Jimny,2006,4-cylinder,Petrol,Manual,214836,Athurugiriya
62,62,Mitsubishi,Lancer,2016,4-cylinder,Petrol,Manual,279654,Kaduwela
63,63,Honda,Vezel,2019,4-cylinder,Petrol Hybrid,Automatic,159152,Kaduwela
64,64,Toyota,Yaris,2019,4-cylinder,Petrol,Automatic,146927,Kottawa
65,65,Nissan,Sunny,2015,4-cylinder,Petrol,Manual,193057,Kottawa
66,66,Mitsubishi,Attrage,2019,4-cylinder,Petrol,Automatic,229628,Malabe
67,67,Mitsubishi,Attrage,2006,4-cylinder,Petrol,Automatic,20646,Hokandara
68,68,Honda,Grace,2015,4-cylinder,Petrol Hybrid,Automatic,196604,Thalawathugoda
69,69,Honda,Vezel,2005,4-cylinder,Petrol Hybrid,Automatic,103253,Athurugiriya
70,70,Toyota,Vios,2008,4-cylinder,Petrol,Automatic,54599,Kottawa
71,71,Toyota,Vios,2021,4-cylinder,Petrol,Automatic,33831,Nugegoda
72,72,Toyota,Corolla,2012,4-cylinder,Petrol,Manual,272139,Thalawathugoda
73,73,Mitsubishi,Lancer,2023,4-cylinder,Petrol,Manual,160086,Thalawathugoda
74,74,Honda,City,2017,4-cylinder,Petrol,Automatic,67697,Hokandara
75,75,Mitsubishi,Attrage,2016,4-cylinder,Petrol,Automatic,98206,Athurugiriya
76,76,Mazda,Demio,2013,4-cylinder,Petrol,Automatic,211361,Hokandara
77,77,Suzuki,Swift,2007,4-cylinder,Petrol,Manual,225954,Malabe
78,78,Suzuki,Wagon R,2013,3-cylinder,Petrol,Automatic,20195,Sri Jayawardenepura Kotte
79,79,Toyota,Hiace,2005,4-cylinder,Diesel,Manual,123641,Athurugiriya
80,80,Toyota,Axio,2022,4-cylinder,Petrol,Automatic,130451,Malabe
81,81,Toyota,Premio,2014,4-cylinder,Petrol,Automatic,234256,Battaramulla
82,82,Tata,Indica,2011,4-cylinder,Petrol,Manual,107521,Malabe
83,83,Toyota,Yaris,2013,4-cylinder,Petrol,Automatic,49920,Koswatta
84,84,Honda,Vezel,2006,4-cylinder,Petrol Hybrid,Automatic,215014,Malabe
85,85,Nissan,Tiida,2009,4-cylinder,Petrol,Automatic,116111,Battaramulla
86,86,Honda,Civic,2020,4-cylinder,Petrol,Manual,97472,Rajagiriya
87,87,Nissan,Sunny,2022,4-cylinder,Petrol,Manual,86444,Pannipitiya
88,88,Mitsubishi,Lancer,2023,4-cylinder,Petrol,Manual,108215,Malabe
89,89,Kia,Rio,2023,4-cylinder,Petrol,Automatic,250844,Kaduwela
90,90,Honda,Grace,2012,4-cylinder,Petrol Hybrid,Automatic,82053,Malabe
91,91,Toyota,Corolla,2006,4-cylinder,Petrol,Manual,134254,Rajagiriya
92,92,Toyota,Allion,2021,4-cylinder,Petrol,Automatic,214641,Nugegoda
93,93,Toyota,Hiace,2010,4-cylinder,Diesel,Manual,176902,Malabe
94,94,Honda,Fit,2016,4-cylinder,Petrol,Automatic,183869,Pannipitiya
95,95,Hyundai,Elantra,2006,4-cylinder,Petrol,Automatic,94763,Malabe
96,96,Suzuki,Wagon R,2015,3-cylinder,Petrol,Automatic,189197,Hokandara
97,97,Suzuki,Swift,2015,4-cylinder,Petrol,Manual,219195,Athurugiriya
98,98,Toyota,Axio,2011,4-cylinder,Petrol,Automatic,109658,Battaramulla
99,99,Suzuki,Baleno,2005,4-cylinder,Petrol,Automatic,47742,Hokandara
100,100,Suzuki,Alto,2007,3-cylinder,Petrol,Automatic,120428,Rajagiriya
101,101,Toyota,Hiace,2015,4-cylinder,Diesel,Manual,258604,Battaramulla
102,102,Hyundai,Accent,2017,4-cylinder,Petrol,Manual,86670,Koswatta
103,103,Hyundai,Accent,2015,4-cylinder,Petrol,Manual,106511,Battaramulla
104,104,Tata,Indica,2021,4-cylinder,Petrol,Manual,163366,Maharagama
105,105,Honda,Grace,2005,4-cylinder,Petrol Hybrid,Automatic,223086,Hokandara
106,106,Toyota,Hiace,2005,4-cylinder,Diesel,Manual,271198,Sri Jayawardenepura Kotte
107,107,Mitsubishi,Attrage,2022,4-cylinder,Petrol,Automatic,32713,Battaramulla
108,108,Kia,Rio,2011,4-cylinder,Petrol,Automatic,220141,Nugegoda
109,109,Toyota,Allion,2012,4-cylinder,Petrol,Automatic,104423,Hokandara
110,110,Honda,Civic,2010,4-cylinder,Petrol,Manual,161787,Maharagama
111,111,Toyota,Vios,2023,4-cylinder,Petrol,Automatic,116832,Hokandara
112,112,Mazda,Demio,2011,4-cylinder,Petrol,Automatic,71606,Thalawathugoda
113,113,Suzuki,Alto,2013,3-cylinder,Petrol,Automatic,202868,Koswatta
114,114,Nissan,Sunny,2021,4-cylinder,Petrol,Manual,164198,Kottawa
115,115,Kia,Cerato,2021,4-cylinder,Petrol,Automatic,160391,Nugegoda
116,116,Perodua,Myvi,2020,3-cylinder,Petrol,Automatic,19308,Maharagama
117,117,Perodua,Myvi,2012,3-cylinder,Petrol,Automatic,166159,Thalawathugoda
118,118,Kia,Rio,2020,4-cylinder,Petrol,Automatic,200009,Kaduwela
119,119,Toyota,Axio,2021,4-cylinder,Petrol,Automatic,79607,Boralesgamuwa
120,120,Honda,Fit,2009,4-cylinder,Petrol,Automatic,110323,Thalawathugoda
121,121,Mitsubishi,Attrage,2012,4-cylinder,Petrol,Automatic,130241,Thalawathugoda
122,122,Honda,City,2018,4-cylinder,Petrol,Automatic,42440,Rajagiriya
123,123,Toyota,Premio,2006,4-cylinder,Petrol,Automatic,166619,Pannipitiya
124,124,Toyota,Axio,2020,4-cylinder,Petrol,Automatic,231898,Boralesgamuwa
125,125,Toyota,Hiace,2011,4-cylinder,Diesel,Manual,100335,Thalawathugoda
126,126,Suzuki,Wagon R,2017,3-cylinder,Petrol,Automatic,215335,Koswatta
127,127,Nissan,Tiida,2005,4-cylinder,Petrol,Automatic,142757,Rajagiriya
128,128,Suzuki,Alto,2018,3-cylinder,Petrol,Automatic,51894,Thalawathugoda
129,129,Hyundai,i10,2008,3-cylinder,Petrol,Automatic,115096,Rajagiriya
130,130,Tata,Indica,2012,4-cylinder,Petrol,Manual,197232,Battaramulla
131,131,Toyota,Premio,2010,4-cylinder,Petrol,Automatic,55764,Athurugiriya
132,132,Hyundai,Accent,2023,4-cylinder,Petrol,Manual,167245,Nugegoda
133,133,Honda,Fit,2023,4-cylinder,Petrol,Automatic,173351,Hokandara
134,134,Suzuki,Wagon R,2005,3-cylinder,Petrol,Automatic,246891,Thalawathugoda
135,135,Hyundai,Elantra,2011,4-cylinder,Petrol,Automatic,204486,Hokandara
136,136,Toyota,Vios,2019,4-cylinder,Petrol,Automatic,67225,Hokandara
137,137,Toyota,Hiace,2015,4-cylinder,Diesel,Manual,278037,Thalawathugoda
138,138,Hyundai,Accent,2016,4-cylinder,Petrol,Manual,68448,Hokandara
139,139,Hyundai,Accent,2023,4-cylinder,Petrol,Manual,215257,Hokandara
140,140,Suzuki,Swift,2018,4-cylinder,Petrol,Manual,156421,Malabe
141,141,Suzuki,Jimny,2012,4-cylinder,Petrol,Manual,140910,Koswatta
142,142,Nissan,Sunny,2019,4-cylinder,Petrol,Manual,73181,Boralesgamuwa
143,143,Honda,Civic,2016,4-cylinder,Petrol,Manual,228218,Athurugiriya
144,144,Toyota,Corolla,2022,4-cylinder,Petrol,Manual,190345,Malabe
145,145,Nissan,Sunny,2021,4-cylinder,Petrol,Manual,62457,Sri Jayawardenepura Kotte
146,146,Suzuki,Baleno,2011,4-cylinder,Petrol,Automatic,204142,Nugegoda
147,147,Tata,Indica,2011,4-cylinder,Petrol,Manual,228249,Malabe
148,148,Suzuki,Baleno,2021,4-cylinder,Petrol,Automatic,165392,Hokandara
149,149,Toyota,Yaris,2016,4-cylinder,Petrol,Automatic,96804,Athurugiriya
150,150,Honda,Civic,2006,4-cylinder,Petrol,Manual,35453,Thalawathugoda
151,151,Mitsubishi,Lancer,2009,4-cylinder,Petrol,Manual,231565,Battaramulla
152,152,Honda,City,2015,4-cylinder,Petrol,Automatic,169661,Hokandara
153,153,Toyota,Yaris,2018,4-cylinder,Petrol,Automatic,272285,Koswatta
154,154,Nissan,Tiida,2008,4-cylinder,Petrol,Automatic,95346,Nugegoda
155,155,Hyundai,Accent,2022,4-cylinder,Petrol,Manual,224113,Malabe
156,156,Kia,Rio,2010,4-cylinder,Petrol,Automatic,89756,Rajagiriya
157,157,Toyota,Yaris,2017,4-cylinder,Petrol,Automatic,198811,Kaduwela
158,158,Toyota,Allion,2013,4-cylinder,Petrol,Automatic,27967,Hokandara
159,159,Suzuki,Swift,2009,4-cylinder,Petrol,Manual,246084,Boralesgamuwa
160,160,Mazda,Demio,2006,4-cylinder,Petrol,Automatic,43389,Hokandara
161,161,Hyundai,Accent,2005,4-cylinder,Petrol,Manual,38944,Thalawathugoda
162,162,Toyota,Allion,2016,4-cylinder,Petrol,Automatic,249218,Koswatta
163,163,Honda,City,2016,4-cylinder,Petrol,Automatic,244298,Rajagiriya
164,164,Mitsubishi,Attrage,2022,4-cylinder,Petrol,Automatic,155866,Battaramulla
165,165,Honda,Civic,2023,4-cylinder,Petrol,Manual,188164,Hokandara
166,166,Honda,Vezel,2009,4-cylinder,Petrol Hybrid,Automatic,247363,Battaramulla
167,167,Honda,City,2017,4-cylinder,Petrol,Automatic,46748,Athurugiriya
168,168,Nissan,Tiida,2005,4-cylinder,Petrol,Automatic,173817,Rajagiriya
169,169,Toyota,Corolla,2005,4-cylinder,Petrol,Manual,59651,Boralesgamuwa
170,170,Suzuki,Swift,2010,4-cylinder,Petrol,Manual,225992,Boralesgamuwa
171,171,Mazda,Axela,2015,4-cylinder,Petrol,Automatic,161386,Maharagama
172,172,Mazda,Axela,2012,4-cylinder,Petrol,Automatic,272134,Rajagiriya
173,173,Mazda,Axela,2019,4-cylinder,Petrol,Automatic,258098,Nugegoda
174,174,Suzuki,Swift,2005,4-cylinder,Petrol,Manual,274464,Hokandara
